College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Dordt University,Dordt University,35960,35960
Drake University,Drake University,49944,49944
Drew University,Drew University,45360,45360
Drexel University,Drexel University,60663,60663
Drury University,Drury University,35235,35235
Drury University-College of Continuing Professional Studies,Drury University-College of Continuing Professional Studies,8044,8044
Duke University,Duke University,65805,65805
Dunwoody College of Technology,Dunwoody College of Technology,25659,25659
Duquesne University,Duquesne University,47146,47146
ECPI University,ECPI University,18484,18484
EDP University of Puerto Rico Inc-San Juan,EDP University of Puerto Rico Inc-San Juan,7050,14125
EDP University of Puerto Rico Inc-San Sebastian,EDP University of Puerto Rico Inc-San Sebastian,7050,14125
EDP University of Puerto Rico-Humacao,EDP University of Puerto Rico-Humacao,7050,14125
EDP University of Puerto Rico-Manati,EDP University of Puerto Rico-Manati,7050,14125
EDP University of Puerto Rico-Villalba,EDP University of Puerto Rico-Villalba,7050,14125
EDvance College,Defiance College,38778,38778
Earlham College,Earlham College,51840,51840
East Carolina University,East Carolina University,7361,23638
East Central University,East Central University,8032,17542
East Georgia State College,East Georgia State College,2736,9088
East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania,11036,19002
East Tennessee State University,East Tennessee State University,9950,13790
East Texas A&M University,West Texas A & M University,9101,10996
East Texas Baptist University,East Texas Baptist University,30050,30050
East-West University,East-West University,26100,26100
Eastern Arizona College,Eastern Arizona College,2352,9552
Eastern Connecticut State University,Eastern Connecticut State University,13292,16624
Eastern Florida State College,Eastern Florida State College,2496,9739
Eastern Illinois University,Eastern Illinois University,13403,15879
Eastern Kentucky University,Eastern Kentucky University,10130,20820
Eastern Mennonite University,Eastern Mennonite University,41860,41860
Eastern Michigan University,Eastern Michigan University,15510,15510
Eastern Nazarene College,Eastern Nazarene College,28610,28610
Eastern New Mexico University-Main Campus,Eastern New Mexico University-Main Campus,6863,8843
Eastern Oregon University,Eastern Oregon University,10671,24621
Eastern University,Eastern University,37420,37420
Eastern Washington University,Eastern Washington University,8353,25892
Eastwick College-Hackensack,Eastwick College-Hackensack,16913,16913
Ecclesia College,Ecclesia College,16850,16850
Eckerd College,Eckerd College,50374,50374
Ecumenical Theological Seminary,Ecumenical Theological Seminary,,
Edgewood College,Edgewood College,34850,34850
Edison State Community College,Edison State Community College,4379,8106
Edmonds College,Edmonds College,4669,10553
Edward Waters University,Edward Waters University,14878,14878
