name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Hendrix College,Conway,AR,36650.0,36650.0,23409.0,Moderately Selective,0.5297999999999999,,,1094,1000111,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
John Brown University,Siloam Springs,AR,30832.0,30832.0,21144.0,Less Selective,0.6764,,,1415,1000112,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Career Academy of Hair Design,Springdale,AR,9748.0,17062.0,13563.0,Moderately Selective,0.5,,,244,1000113,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas State University Mid-South,West Memphis,AR,3048.0,4560.0,3558.0,Moderately Selective,0.5,,,435,1000114,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas Northeastern College,Blytheville,AR,2570.0,4250.0,5144.0,Moderately Selective,0.5,,,787,1000115,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
North Arkansas College,Harrison,AR,3168.0,5544.0,10146.0,Moderately Selective,0.5,,,1184,1000116,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Northwest Technical Institute,Springdale,AR,5184.0,5184.0,11212.0,Moderately Selective,0.5,,,217,1000117,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Ouachita Baptist University,Arkadelphia,AR,32480.0,32480.0,22355.0,Less Selective,0.6851999999999999,,,1612,1000118,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas State University Three Rivers,Malvern,AR,3568.0,4168.0,7520.0,Moderately Selective,0.5,,,514,1000119,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Ozarka College,Melbourne,AR,3820.0,6820.0,4396.0,Moderately Selective,0.5,,,564,1000120,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of the Ozarks,Clarksville,AR,25950.0,25950.0,13630.0,Moderately Selective,0.5814,,,753,1000121,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas Community College-Morrilton,Morrilton,AR,3504.0,4176.0,11718.0,Less Selective,1.0,,,1538,1000122,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Philander Smith University,Little Rock,AR,13014.0,13014.0,15360.0,Moderately Selective,0.5,,,842,1000123,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Phillips Community College of the University of Arkansas,Helena,AR,3230.0,5270.0,5420.0,Moderately Selective,0.5,,,595,1000124,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Southeast Arkansas College,Pine Bluff,AR,4960.0,8260.0,11185.0,Moderately Selective,0.5,,,748,1000125,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas-Pulaski Technical College,North Little Rock,AR,4848.0,7248.0,15000.0,Moderately Selective,0.5,,,3791,1000126,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas Hope-Texarkana,Hope,AR,3400.0,4960.0,8210.0,Moderately Selective,0.5,,,697,1000127,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas Community College Rich Mountain,Mena,AR,3528.0,4104.0,4914.0,Moderately Selective,0.5,,,475,1000128,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Paul Mitchell the School-Arkansas,Fayetteville,AR,9748.0,17062.0,15309.0,Moderately Selective,0.5,,,107,1000129,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Shorter College,N Little Rock,AR,6246.0,6246.0,12993.0,Moderately Selective,0.5,,,290,1000130,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Williams Baptist University,Walnut Ridge,AR,20330.0,20330.0,15875.0,Moderately Selective,0.5888,,,490,1000131,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
South Arkansas College,El Dorado,AR,3204.0,5364.0,6235.0,Moderately Selective,0.5,,,879,1000132,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Southern Arkansas University Main Campus,Magnolia,AR,9820.0,15400.0,15944.0,Less Selective,0.6659,,,2865,1000133,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Southern Arkansas University Tech,Camden,AR,4685.0,4685.0,5895.0,Moderately Selective,0.5,,,663,1000134,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas-Fort Smith,Fort Smith,AR,6906.0,13770.0,10097.0,Less Selective,0.8147,,,4133,1000135,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Academy of Art University,San Francisco,CA,28024.0,28024.0,39778.0,Moderately Selective,0.5,,,4131,1000136,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
College of Alameda,Alameda,CA,1148.0,8684.0,9280.0,Moderately Selective,0.5,,,4274,1000137,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Allan Hancock College,Santa Maria,CA,1156.0,9436.0,4638.0,Moderately Selective,0.5,,,7812,1000138,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
American Beauty College,West Covina,CA,9748.0,17062.0,24076.0,Moderately Selective,0.5,,,250,1000139,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
American Career College-Los Angeles,Los Angeles,CA,9748.0,17062.0,27508.0,Moderately Selective,0.5,,,2066,1000140,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
