name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
Life Pacific University,San Dimas,CA,20462,20462,22343,Less selective,93.95,,,393
University of La Verne,La Verne,CA,47000,47000,26925,Selective,48.48,,,3341
Laguna College of Art and Design,Laguna Beach,CA,35650,35650,42354,Less selective,77.61,,,776
Lake Tahoe Community College,South Lake Tahoe,CA,1131,11067,10975,Unknown,,,,2909
Lancaster Beauty School,Lancaster,CA,,,21235,Unknown,,,,131
Laney College,Oakland,CA,1148,8684,15805,Unknown,,,,7158
Lassen Community College,Susanville,CA,1144,8224,7677,Unknown,,,,1564
Lincoln University,Oakland,CA,11420,11420,,Unknown,,,,223
La Sierra University,Riverside,CA,35910,35910,26217,Less selective,93.3,,,1155
Loma Linda University,Loma Linda,CA,,,,Unknown,,,,867
Long Beach City College,Long Beach,CA,1556,11440,5001,Unknown,,,,21899
Southern California University of Health Sciences,Whittier,CA,10769,10769,45633,Unknown,,,,132
Los Angeles Harbor College,Wilmington,CA,1238,10050,11245,Unknown,,,,6496
Los Angeles Pierce College,Woodland Hills,CA,1238,10130,11196,Unknown,,,,13029
Los Angeles Southwest College,Los Angeles,CA,1238,10130,6683,Unknown,,,,3793
Los Angeles Trade Technical College,Los Angeles,CA,1238,10130,10658,Unknown,,,,10165
Los Angeles Valley College,Valley Glen,CA,1238,10130,10200,Unknown,,,,12470
The Master's University and Seminary,Santa Clarita,CA,36930,36930,32121,Less selective,75.89,,,1606
Los Angeles City College,Los Angeles,CA,1238,10130,7532,Unknown,,,,10857
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,,,,Unknown,,,,220
Los Angeles Mission College,Sylmar,CA,1238,10130,11972,Unknown,,,,8031
Los Medanos College,Pittsburg,CA,1312,9012,5692,Unknown,,,,7100
Loyola Marymount University,Los Angeles,CA,58974,58974,45723,Selective,40.29,,,7171
Lu Ross Academy,Ventura,CA,,,15711,Unknown,,,,277
Lytles Redwood Empire Beauty College,Santa Rosa,CA,,,24603,Unknown,,,,114
MTI College,Sacramento,CA,,,20336,Less selective,81.93,,,1025
College of Marin,Kentfield,CA,1558,10828,15517,Unknown,,,,3928
Mendocino College,Ukiah,CA,1423,8893,7500,Unknown,,,,2857
Menlo College,Atherton,CA,51070,51070,27032,Somewhat selective,67.81,,,811
Merced College,Merced,CA,1194,8154,4260,Unknown,,,,9677
Merritt College,Oakland,CA,1167,8703,14742,Unknown,,,,5153
MiraCosta College,Oceanside,CA,1152,9120,7178,Unknown,,,,10474
Mission College,Santa Clara,CA,1438,12220,5198,Unknown,,,,5557
Modesto Junior College,Modesto,CA,1270,8870,10176,Unknown,,,,14714
Moler Barber College,Oakland,CA,,,22135,Unknown,,,,335
Monterey Peninsula College,Monterey,CA,1188,9924,13498,Unknown,,,,5759
Moorpark College,Moorpark,CA,1416,8179,742,Unknown,,,,12011
Mt San Antonio College,Walnut,CA,1364,10212,3107,Unknown,,,,25311
Mount Saint Mary's University,Los Angeles,CA,48132,48132,25009,Somewhat selective,68.72,,,1746
Mt San Jacinto Community College District,San Jacinto,CA,1406,11276,7098,Unknown,,,,14859
